id,variant,length,score_blosum,mismatches,gap_count
QTT23477.1,Alpha,1270,6636.5,7,3
QVF62665.1,Alpha,1270,4673.5,347,3
UKC49160.1,Alpha,1270,6636.5,7,3
QVP02163.1,Alpha,1270,6629.5,8,3
QVU41064.1,Alpha,1270,6633.5,8,3
QVO33952.1,Alpha,1270,4627.5,355,3
WBO25182.1,Alpha,1270,6631.5,8,3
QUO78969.1,Alpha,1270,6635.5,8,3
QVO45324.1,Alpha,1270,6636.5,7,3
QXK74617.1,Alpha,1270,6631.5,8,3
QTD18731.1,Alpha,1270,6631.5,8,3
QUD02568.1,Alpha,1270,6636.5,7,3
UXU18514.1,Alpha,1270,6628.5,8,3
QWY62387.1,Alpha,1270,6633.5,8,3
XND23837.1,Alpha,1270,6632.5,8,3
QUE00434.1,Alpha,1270,6630.5,8,3
WDZ10239.1,Alpha,1270,6195.5,80,3
QXG89523.1,Alpha,1270,6631.5,8,3
UIE77040.1,Alpha,1270,5622.5,169,3
USX90964.1,Alpha,1270,6636.5,7,3
QVN44332.1,Alpha,1270,6321.5,59,3
QVU53098.1,Alpha,1270,6636.5,7,3
UCQ98113.1,Alpha,1270,6626.5,8,3
UBC95994.1,Alpha,1270,6632.5,8,3
QZZ59817.1,Alpha,1270,6630.5,8,3
QVV32033.1,Alpha,1270,6624.5,9,3
QVO22302.1,Alpha,1270,6623.5,9,3
QVN39611.1,Alpha,1270,6500.5,30,3
QWX09581.1,Alpha,1270,6623.5,9,3
QVU74374.1,Alpha,1270,6636.5,7,3
QWU04922.1,Alpha,1270,6585.5,15,3
ULE42339.1,Alpha,1270,6632.5,8,3
QYT52603.1,Alpha,1270,6393.5,47,3
QXL55920.1,Alpha,1270,6627.5,9,3
UIC10837.1,Alpha,1270,6626.5,8,3
QWY47804.1,Alpha,1270,6633.5,8,3
UNJ26233.1,Alpha,1270,6636.5,7,3
QUV43485.1,Alpha,1270,4667.5,348,3
UKC50133.1,Alpha,1270,6633.5,8,3
UBO22319.1,Alpha,1270,6631.5,8,3
QVE45987.1,Alpha,1270,6636.5,7,3
QUP08910.1,Alpha,1270,6631.5,8,3
QUM30632.1,Alpha,1270,6636.5,7,3
QVO18994.1,Alpha,1270,6628.5,8,3
QUF29940.1,Alpha,1270,6636.5,7,3
QTJ90225.1,Alpha,1270,6635.5,8,3
UBC38390.1,Alpha,1270,6627.5,8,3
UPE82351.1,Alpha,1270,5768.5,146,3
UAZ80339.1,Alpha,1270,6631.5,8,3
UEF56478.1,Alpha,1270,6636.5,7,3
QWU71348.1,Alpha,1270,6631.5,8,3
QVN24496.1,Alpha,1270,6357.5,53,3
QVK92369.1,Alpha,1270,6623.5,10,3
QSE38486.1,Alpha,1270,6636.5,7,3
QUU41071.1,Alpha,1270,6636.5,7,3
QXX35675.1,Alpha,1270,6636.5,7,3
WIG64413.1,Alpha,1270,6636.5,7,3
QYC02141.1,Alpha,1270,6636.5,7,3
QTT22746.1,Alpha,1270,6636.5,7,3
UKC43796.1,Alpha,1270,6630.5,8,3
WZA22279.1,Alpha,1270,6636.5,7,3
QVV56555.1,Alpha,1270,6636.5,7,3
UJZ17260.1,Alpha,1270,6636.5,7,3
QUH62688.1,Alpha,1270,6622.5,9,3
WZA86632.1,Alpha,1270,6636.5,7,3
QUE20653.1,Alpha,1270,6631.5,8,3
QVU00599.1,Alpha,1270,6636.5,7,3
QVJ28127.1,Alpha,1270,6636.5,7,3
QXG88588.1,Alpha,1270,6636.5,7,3
UBC75288.1,Alpha,1270,6611.5,11,3
QUG14612.1,Alpha,1270,6631.5,8,3
QWU54864.1,Alpha,1270,6628.5,9,3
QUH52457.1,Alpha,1270,6636.5,7,3
QWW63217.1,Alpha,1270,6616.5,10,3
QWY54562.1,Alpha,1270,6636.5,7,3
QWC73422.1,Alpha,1270,6631.5,8,3
QVF53443.1,Alpha,1270,6627.5,8,3
UBN39296.1,Alpha,1270,6407.5,45,3
UIG94018.1,Delta,1268,5980.5,112,5
UAP65519.1,Delta,1271,6642.5,10,2
UEY06495.1,Delta,1273,5477.0,198,0
UAQ32988.1,Delta,1271,6648.5,8,2
UDM69719.1,Delta,1271,6648.5,8,2
UFO32284.1,Delta,1271,6525.5,29,2
QZR04293.1,Delta,1271,6431.5,43,2
UJZ71339.1,Delta,1271,6641.5,9,2
UAV38482.1,Delta,1271,6075.5,99,2
QZW22010.1,Delta,1271,5948.5,124,2
UBN88795.1,Delta,1271,6648.5,8,2
UBK04148.1,Delta,1270,5503.5,191,3
XNE37899.1,Delta,1271,5434.5,202,2
UQM96201.1,Delta,1271,6628.5,11,2
QZF94405.1,Delta,1271,6448.5,38,2
UFU27072.1,Delta,1271,6641.5,9,2
WQR32990.1,Delta,1271,6582.5,18,2
QZF31082.1,Delta,1245,4366.0,367,28
UEX05170.1,Delta,1273,5552.0,185,0
QWT95160.1,Delta,1271,6643.5,9,2
UJZ25421.1,Delta,1271,6629.5,10,2
UAV38277.1,Delta,1271,6641.5,9,2
UDJ92668.1,Delta,1271,6647.5,8,2
XNE17580.1,Delta,1271,6641.5,9,2
UAA76466.1,Delta,1271,6624.5,13,2
UFN38446.1,Delta,1271,6645.5,9,2
UBB72650.1,Delta,1271,5277.5,229,2
XNE05351.1,Delta,1273,4561.0,345,0
UDW24035.1,Delta,1271,6608.5,16,2
UEA14834.1,Delta,1271,6641.5,10,2
UCT60398.1,Delta,1271,6653.5,7,2
UEO56177.1,Delta,1271,6648.5,9,2
UCS69828.1,Delta,1273,5477.0,198,0
QZE01443.1,Delta,1271,6633.5,9,2
UAN71862.1,Delta,1257,5191.0,226,16
UHD95913.1,Delta,1271,6654.5,7,2
QZS86264.1,Delta,1271,6505.5,31,2
QYU40829.1,Delta,1246,4802.5,279,27
QZS75599.1,Delta,1271,6651.5,8,2
QZU66130.1,Delta,1271,6648.5,8,2
UPC15100.1,Delta,1271,6463.5,37,2
QXN00170.1,Delta,1271,6641.5,9,2
UHC62330.1,Delta,1271,6651.5,8,2
QZF22363.1,Delta,1271,6641.5,9,2
UAM38541.1,Delta,1271,6643.5,9,2
UNW49650.1,Delta,1246,6503.5,8,27
UNW48323.1,Delta,1246,6503.5,8,27
UFR77410.1,Delta,1271,6647.5,8,2
UJU95980.1,Delta,1271,5634.5,172,2
UHK50405.1,Delta,1271,6641.5,9,2
UBM80196.1,Delta,1271,6641.5,9,2
UEO62385.1,Delta,1271,6638.5,9,2
UBT00353.1,Delta,1271,6637.5,10,2
UCP72917.1,Delta,1271,6632.5,10,2
UBJ07409.1,Delta,1273,4582.0,341,0
QZI58337.1,Delta,1271,6566.5,22,2
UCO30934.1,Delta,1271,6493.5,34,2
UBW39592.1,Delta,1271,6647.5,8,2
UBA20854.1,Delta,1271,6647.5,8,2
UAZ67858.1,Delta,1273,6670.0,8,0
UDK67516.1,Delta,1271,6642.5,10,2
UDH11206.1,Delta,1273,4394.0,371,0
WBE64503.1,Delta,1271,6580.5,19,2
UAA93295.1,Delta,1271,6031.5,110,2
UBG19119.1,Delta,1271,6641.5,9,2
UDH74738.1,Delta,1273,6483.0,36,0
QYZ81325.1,Delta,1271,6638.5,10,2
UAU60375.1,Delta,1271,6626.5,12,2
UBT19061.1,Delta,1271,6636.5,10,2
UET94735.1,Delta,1271,6297.5,65,2
UAA75432.1,Delta,1257,5504.0,181,16
UEW78179.1,Delta,1273,4915.0,295,0
UIG90211.1,Delta,1273,3960.0,456,0
UPB52328.1,Delta,1273,5701.0,165,0
ULM85153.1,Delta,1271,6635.5,10,2
QYD01410.1,Delta,1271,6648.5,8,2
UAO14308.1,Delta,1271,6622.5,11,2
UCS61526.1,Delta,1271,6641.5,9,2
XNF80649.1,Delta,1271,6636.5,10,2
UEY43614.1,Delta,1271,6630.5,11,2
UJU95873.1,Delta,1271,5634.5,172,2
UFN37952.1,Delta,1271,6628.5,10,2
QZC86241.1,Delta,1271,5383.5,209,2
QZH03200.1,Delta,1271,5973.5,114,2
UEI94388.1,Delta,1271,6647.5,8,2
UGK77260.1,Delta,1271,6641.5,9,2
UFA02553.1,Delta,1273,6674.0,8,0
UDP62689.1,Delta,1271,6647.5,8,2
UAT28348.1,Delta,1271,6641.5,9,2
UEH27569.1,Delta,1273,6243.0,79,0
QZM37070.1,Delta,1271,6641.5,9,2
UHM94981.1,Delta,1273,5383.0,215,0
QYN92974.1,Delta,1271,6179.5,83,2
UGL00900.1,Delta,1271,6638.5,10,2
UFN39303.1,Delta,1271,6630.5,10,2
UBV58052.1,Delta,1271,6225.5,73,2
WAW69985.1,Delta,1271,6636.5,10,2
UIB86307.1,Delta,1271,6636.5,10,2
QWE61201.1,Delta,1271,6311.5,64,2
QWJ77385.1,Delta,1271,6075.5,99,2
UBV99689.1,Delta,1271,6633.5,10,2
QWT56303.1,Delta,1271,6644.5,9,2
WRV10671.1,Delta,1271,6647.5,8,2
UAB36472.1,Delta,1271,6647.5,8,2
QZR32994.1,Delta,1271,6641.5,9,2
WQR21610.1,Delta,1271,6635.5,10,2
UEZ55965.1,Delta,1271,6641.5,9,2
WDT47408.1,Delta,1271,6637.5,10,2
QVF50010.1,Delta,1271,6641.5,9,2
UAQ87091.1,Delta,1271,6643.5,9,2
XNE99992.1,Delta,1271,6338.5,56,2
UAA41065.1,Delta,1271,6630.5,10,2
QUH34723.1,Delta,1273,5477.0,198,0
UAC13257.1,Delta,1271,6641.5,9,2
QWU01408.1,Delta,1271,6647.5,8,2
UOH31702.1,Delta,1273,4908.0,286,0
UBA31052.1,Delta,1271,6636.5,10,2
UBO28052.1,Delta,1271,6654.5,7,2
UBP33964.1,Delta,1271,5308.5,223,2
QYP51008.1,Delta,1271,6648.5,8,2
UFA94525.1,Delta,1271,6638.5,10,2
UPD35269.1,Delta,1273,5058.0,264,0
UBG54161.1,Delta,1271,6641.5,9,2
QYP77106.1,Delta,1273,6187.0,86,0
UIS51696.1,Delta,1271,6642.5,9,2
UAQ47141.1,Delta,1271,6641.5,9,2
UEE23271.1,Delta,1259,5226.5,224,14
UDG56682.1,Delta,1271,6648.5,8,2
QWO61466.1,Delta,1271,6647.5,8,2
UAB50011.1,Delta,1257,6279.0,55,16
QWO63535.1,Delta,1271,6652.5,7,2
UHN77778.1,Delta,1273,6336.0,64,0
UDH91737.1,Delta,1273,6483.0,36,0
UQC45628.1,Delta,1271,6630.5,12,2
UBX20966.1,Delta,1271,6641.5,9,2
QZU10849.1,Delta,1271,6648.5,8,2
UAM31584.1,Delta,1271,6628.5,11,2
QZD19390.1,Delta,1271,6638.5,9,2
QWU20466.1,Delta,1271,6654.5,7,2
UAZ30413.1,Delta,1271,6620.5,13,2
UET33213.1,Delta,1271,5959.5,124,2
UCN76277.1,Delta,1271,6406.5,48,2
QZT00967.1,Delta,1271,6390.5,50,2
QZT03133.1,Delta,1271,6645.5,9,2
XNG17023.1,Delta,1271,6294.5,63,2
XBA20122.1,Delta,1273,5524.0,191,0
UFC75739.1,Delta,1271,6392.5,50,2
UBE61731.1,Delta,1271,6647.5,8,2
UHK64512.1,Delta,1273,6304.0,67,0
QZT01241.1,Delta,1271,6648.5,8,2
QZZ85211.1,Delta,1273,4530.0,353,0
UHJ32251.1,Delta,1271,6654.5,7,2
QXJ77135.1,Delta,1273,4964.0,283,0
UCC06319.1,Delta,1271,6297.5,65,2
UGX32841.1,Delta,1272,4320.0,387,1
QYU40180.1,Delta,1271,5065.5,260,2
XNE49975.1,Delta,1271,6648.5,8,2
QZL99168.1,Delta,1271,6117.5,93,2
UBA55367.1,Delta,1271,6647.5,8,2
QWB49574.1,Delta,1271,6637.5,10,2
UDA60036.1,Delta,1271,6641.5,9,2
QWT69404.1,Delta,1271,6647.5,8,2
QXK73475.1,Delta,1271,6639.5,10,2
QZR18174.1,Delta,1271,6629.5,11,2
UEX02286.1,Delta,1273,3946.0,447,0
UBO18219.1,Delta,1271,6629.5,10,2
UDN69777.1,Delta,1273,5608.0,175,0
UOM15754.1,Delta,1271,6641.5,9,2
UFR11997.1,Delta,1273,5832.0,141,0
QZP91985.1,Delta,1271,6640.5,9,2
UEW64050.1,Delta,1271,6641.5,9,2
UEI88832.1,Delta,1271,6647.5,8,2
QYO13014.1,Delta,1271,6628.5,12,2
UEZ53307.1,Delta,1224,5736.5,111,49
UHO58944.1,Delta,1271,6232.5,75,2
QYL36533.1,Delta,1271,6643.5,9,2
UBC13179.1,Delta,1271,6031.5,110,2
QZW43071.1,Delta,1271,6641.5,9,2
QYT68662.1,Delta,1271,6641.5,9,2
QXK79975.1,Delta,1271,6641.5,9,2
UBL71071.1,Delta,1271,6643.5,9,2
UAO33788.1,Delta,1271,6615.5,13,2
QZF43185.1,Delta,1271,6641.5,9,2
WDU11680.1,Delta,1271,6512.5,29,2
UBN99771.1,Delta,1271,6648.5,8,2
UBI60055.1,Delta,1271,6638.5,10,2
QYT56473.1,Delta,1271,6647.5,8,2
UBA25276.1,Delta,1271,6641.5,9,2
UEW78146.1,Delta,1273,4240.0,406,0
UFY56004.1,Delta,1271,6450.5,39,2
QYO33472.1,Delta,1271,4841.5,300,2
UCA84290.1,Delta,1271,6642.5,9,2
UDI38360.1,Delta,1271,6635.5,9,2
QXT61592.1,Delta,1273,5031.0,266,0
UJY78715.1,Delta,1271,6636.5,10,2
UII12675.1,Omicron,1270,6157.5,78,9
XNJ41273.1,Omicron,1268,6023.5,104,5
ULM67879.1,Omicron,1267,6022.5,104,6
WVI33119.1,Omicron,1270,6424.5,39,9
UKK17056.1,Omicron,1270,6471.5,30,9
UOT27714.1,Omicron,1270,6471.5,30,9
UKN35454.1,Omicron,1270,6471.5,30,9
UJT88944.1,Omicron,1273,6166.0,88,0
UHS03412.1,Omicron,1254,6157.0,66,25
UXP95931.1,Omicron,1273,4389.0,384,0
UJD41809.1,Omicron,1270,6222.5,69,9
WGR14211.1,Omicron,1267,6013.5,107,6
UHQ10373.1,Omicron,1267,6482.5,30,6
UOA60489.1,Omicron,1270,6472.5,30,9
UKI77770.1,Omicron,1270,5987.5,107,9
UJX77301.1,Omicron,1270,5810.5,137,9
UMP14525.1,Omicron,1270,5869.5,123,9
UKN11438.1,Omicron,1270,6471.5,30,9
YBZ47822.1,Omicron,1268,4873.5,284,5
UMP50336.1,Omicron,1270,6471.5,30,9
UNS33073.1,Omicron,1270,6192.5,76,9
WAV73306.1,Omicron,1270,5689.5,152,9
UJK74007.1,Omicron,1270,5943.5,115,9
UIE82921.1,Omicron,1273,4816.0,302,0
WVF09031.1,Omicron,1270,6274.5,60,9
UNS01542.1,Omicron,1270,6477.5,29,9
UWW26869.1,Omicron,1270,6081.5,91,9
UNG64214.2,Omicron,1270,6283.5,59,9
XHJ35848.1,Omicron,1270,6081.5,91,9
UKB12625.1,Omicron,1270,6000.5,105,9
UJJ98620.1,Omicron,1270,5818.5,133,9
ULE64201.1,Omicron,1270,6117.5,84,9
UJX63078.1,Omicron,1270,5810.5,137,9
UJV52765.1,Omicron,1267,6482.5,30,6
UIN74098.1,Omicron,1270,6471.5,30,9
UKW45952.1,Omicron,1270,6471.5,30,9
UJS38633.1,Omicron,1270,6117.5,84,9
WZI53168.1,Omicron,1270,6477.5,29,9
UHV10963.1,Omicron,1270,6000.5,105,9
UOX08647.1,Omicron,1270,6508.5,30,3
UKQ52474.1,Omicron,1267,5568.5,179,6
WKJ36145.1,Omicron,1268,3569.5,493,5
UHV11548.1,Omicron,1270,6000.5,105,9
UKQ94147.1,Omicron,1270,6400.5,42,9
UMF78123.1,Omicron,1270,6467.5,31,9
UKF51226.1,Omicron,1270,5943.5,115,9
UKN29358.1,Omicron,1272,5400.0,206,7
WHS85110.1,Omicron,1270,6471.5,30,9
UPZ50399.1,Omicron,1270,4506.5,354,9
UYY64524.1,Omicron,1270,5069.0,261,3
UJW44819.1,Omicron,1267,6037.5,103,6
UJO94549.1,Omicron,1270,5890.5,120,9
UII97674.1,Omicron,1270,6000.5,105,9
UKU35687.1,Omicron,1270,6000.5,105,9
WAV82745.1,Omicron,1268,5497.5,191,5
UIE98242.1,Omicron,1270,5935.5,116,9
UIT85845.1,Omicron,1270,6153.5,78,9
UJO55602.1,Omicron,1270,6434.5,37,9
WAV58090.1,Omicron,1268,6086.5,91,5
UNA10489.1,Omicron,1270,6470.5,31,9
UKS89698.1,Omicron,1270,5041.5,255,9
UHP50755.1,Omicron,1267,5999.5,107,6
UKN73164.1,Omicron,1270,6476.5,29,9
UJJ37971.1,Omicron,1270,6256.5,62,9
ULX71009.1,Omicron,1270,5827.5,133,9
UIN81728.1,Omicron,1270,6471.5,30,9
UIS40628.1,Omicron,1270,6075.5,92,9
UJK30737.1,Omicron,1270,5703.5,155,9
ULH53057.1,Omicron,1270,5399.5,205,3
UJK10976.1,Omicron,1259,5133.0,238,20
UJG91914.1,Omicron,1270,6195.5,72,9
UKC81159.1,Omicron,1270,6471.5,30,9
UJW11531.1,Omicron,1268,6122.5,86,5
UKV20694.1,Omicron,1270,6471.5,30,9
UHW94497.1,Omicron,1270,6385.5,46,9
XKB60216.1,Omicron,1267,6504.5,26,6
WXI42026.1,Omicron,1270,6143.5,80,9
ULH61389.1,Omicron,1267,5838.5,133,6
UIC48898.1,Omicron,1270,6471.5,30,9
UNU69902.1,Omicron,1270,6471.5,30,9
UNT46605.1,Omicron,1268,5801.5,138,5
UTR94246.1,Omicron,1270,6283.5,58,9
ULP62559.2,Omicron,1270,5547.5,183,9
UNR77022.1,Omicron,1270,6494.5,26,9
UMZ24564.1,Omicron,1270,6471.5,30,9
UHR67612.1,Omicron,1270,6037.5,100,9
UMM73338.2,Omicron,1273,5563.5,183,6
UNS12248.1,Omicron,1270,6494.5,26,9
UJH43485.1,Omicron,1270,5477.5,191,9
UQS48860.1,Omicron,1268,5545.5,184,5
ULI03543.1,Omicron,1270,5827.5,133,9
WSO90313.1,Omicron,1270,6447.5,35,9
ULS04287.1,Omicron,1270,6471.5,30,9
UIQ35051.1,Omicron,1270,6467.5,31,9
UIS09584.1,Omicron,1270,6471.5,30,9
UNN69403.1,Omicron,1270,6471.5,30,9
UJB00528.1,Omicron,1270,5733.0,153,3
UKV21138.1,Omicron,1270,6471.5,30,9
UJT39679.1,Omicron,1270,6298.5,57,9
UKB10481.1,Omicron,1270,6024.5,101,9
UJU42988.1,Omicron,1270,6000.5,105,9
WVF16932.1,Omicron,1270,6273.5,61,9
UNS10955.1,Omicron,1270,6494.5,26,9
UIR70286.1,Omicron,1270,6041.5,99,9
ULQ97530.1,Omicron,1270,6107.5,88,9
UIQ71866.1,Omicron,1270,6471.5,30,9
ULH54580.1,Omicron,1267,5838.5,133,6
UKR03747.1,Omicron,1270,6466.5,31,9
WDU25348.1,Omicron,1270,6471.5,30,9
UMP16018.1,Omicron,1270,5654.5,156,9
UJK80182.1,Omicron,1270,5212.5,240,9
UJI79003.1,Omicron,1270,6471.5,30,9
UHX41874.1,Omicron,1270,6290.5,57,9
UMV64867.1,Omicron,1270,6465.5,31,9
UIQ33919.1,Omicron,1270,6471.5,30,9
UKQ43222.1,Omicron,1267,6035.5,103,6
ULL65673.1,Omicron,1273,5892.5,125,6
UMY97182.1,Omicron,1270,6471.5,30,9
UJI85116.1,Omicron,1267,6036.5,103,6
ULP86046.1,Omicron,1270,3402.5,541,9
UMJ49791.1,Omicron,1270,6157.5,78,9
UJE90385.1,Omicron,1267,6482.5,30,6
UKZ39613.1,Omicron,1270,6164.5,77,9
UPY87534.1,Omicron,1270,6471.5,30,9
UIK75592.1,Omicron,1267,6475.5,31,6
UPV42044.1,Omicron,1270,6471.5,30,9
UNU93330.1,Omicron,1270,6485.5,28,9
UQK92366.1,Omicron,1270,6210.5,69,9
UQG52643.2,Omicron,1270,5570.5,177,9
UOX13686.1,Omicron,1270,6465.5,31,9
ULD72881.1,Omicron,1273,5808.5,138,6
WAV81091.1,Omicron,1268,5563.5,177,5
UOL08360.1,Omicron,1268,5545.5,184,5
ULF15385.1,Omicron,1270,6148.5,79,9
ULU34774.1,Omicron,1270,6164.5,77,9
ULR06606.1,Omicron,1273,5805.5,139,6
UMF58376.1,Omicron,1270,6471.5,30,9
XNJ41357.1,Omicron,1270,6471.5,30,9
UIG30543.1,Omicron,1270,6471.5,30,9
UQH28348.1,Omicron,1270,6469.0,33,7
UPH92189.1,Omicron,1270,6471.5,30,9
XNJ41393.1,Omicron,1270,6471.5,30,9
UIR76543.1,Omicron,1267,6195.5,75,6
UKE36145.1,Omicron,1270,6471.5,30,9
UIY22553.1,Omicron,1270,6000.5,105,9
UOU04344.1,Omicron,1273,5909.0,129,0
UJZ03952.1,Omicron,1270,5579.5,179,9
UMW54873.1,Omicron,1270,5969.5,118,9
ULB74758.1,Omicron,1270,6471.5,30,9
UJK48446.1,Omicron,1270,6471.5,30,9
UKN91592.1,Omicron,1270,6518.5,21,9
UIO21471.1,Omicron,1270,6405.5,39,9
WDU25864.1,Omicron,1270,6471.5,30,9
UJB07920.1,Omicron,1238,3726.5,445,35
ULQ13646.1,Omicron,1270,5575.5,180,9
UHX36395.1,Omicron,1270,6235.5,67,9
UYA25692.1,Omicron,1267,6434.5,38,6
UKH90704.1,Omicron,1270,5810.5,137,9
UHX42701.1,Omicron,1270,6471.5,30,9
UHR66018.1,Omicron,1267,6120.5,88,6
UOH35830.1,Omicron,1268,4893.5,282,5
XND13544.1,Omicron,1270,6471.5,30,9
UMR45391.1,Omicron,1270,6471.5,30,9
UOU12036.1,Omicron,1273,5759.0,152,0
UJO53243.1,Omicron,1270,6157.5,78,9
UKQ94618.1,Omicron,1270,6471.5,30,9
ULS33951.2,Omicron,1270,6236.5,66,9
UJU59331.1,Omicron,1270,6471.5,30,9
WQA43328.1,Omicron,1267,4959.5,271,6
